facility_id,facility_name,club_membership,number_of_holes,address,city_name,state_province_name,country_name,postal_code,phone_number,fax_number,website,longitude,latitude,contact_name,contact_title,email_address,driving_range,putting_green,chipping_green,practice_bunker,motor_cart,pull_cart,golf_club_rental,club_fitting,pro_shop,golf_lessons,caddie_hire,restaurant,receptions,changing_room,lockers,lodging
GBR-ESS-0067,Langdon Hills Golf Club,Resort,27,Lower Dunton Road,Bulphan,Essex,England,RM14 3TY,#ERROR!,N/D,golflangdon.co.uk,0.39533,51.544663,N/D,N/D,info@golflangdon.co.uk,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
GBR-CMA-0034,Windermere Golf Club,Semi-Private,18,Cleabarrow,Windermere,Cumbria,England,LA23 3NB,#ERROR!,N/D,windermeregolfclub.co.uk,-2.894779,54.357664,N/D,N/D,office@windermeregc.co.uk,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
GBR-BDF-0027,The Millbrook Golf Club,Semi-Private,18,Millbrook,Ampthill,Bedfordshire,England,MK45 2JB,N/D,N/D,themillbrook.com,-0.527149,52.0383754,Rob Brightman,Club Manager,manager@themillbrook.com,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No
GBR-BDF-0017,John O'Gaunt Golf Club,Semi-Private,36,Sutton Park,Sandy,Bedfordshire,England,SG19 2LY,#ERROR!,N/D,johnogauntgolfclub.co.uk,-0.225372,52.1165891,John O'Gaunt,N/D,simon@johnogauntgolfclub.co.uk,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No
GBR-SYK-0001,Bawtry Golf Club,Semi-Private,18,"Cross Lane, Austerfield",Doncaster,South Yorkshire,England,DN10 6RF,#ERROR!,N/D,http://www.bawtrygolfclub.co.uk,-0.998039,53.458997,N/D,N/D,N/D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
GBR-TOF-0001,Greenmeadow Golf and Country Club,Semi-Private,18,Treherbert Road,Croesyceiliog,Torfaen,Wales,NP44 2BZ,#ERROR!,N/D,www.greenmeadowgolf.com,-3.001717,51.670772,N/D,N/D,N/D,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
GBR-TWR-0001,Heworth Golf Club,Semi-Private,18,"Gingling Gate, Heworth",Gateshead,Tyne and Wear,England,NE10 8XY,#ERROR!,N/D,www.theheworthgolfclub.co.uk,-1.532701,54.939973,N/D,N/D,bernie@theheworthgolfclub.co.uk,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
GBR-TYR-0009,Clogher Valley Golf Club,Public,9,476 Belfast Road,Fivemiletown,Tyrone,Northern Ireland,BT75 0SE,#ERROR!,N/D,cloghervalleygc.co.uk,-7.336574,54.368425,N/D,N/D,info@cloghervalleygc.co.uk,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
GBR-VGL-0001,Brynhill Golf Club,Semi-Private,18,Port Road,Jeffreys Bay,Vale of Glamorgan,Wales,CF62 8PN,#ERROR!,N/D,www.brynhillgolfclub.co.uk/,-3.288281,51.4212583,Louise or Nicky,General Enquiries,louise@brynhillgolfclub.co.uk,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
GBR-WAR-0001,Forest of Arden-Aylesford Golf Club,Resort,18,Maxstoke Lane,Meriden,Warwickshire,England,CV7 7HR,#ERROR!,N/D,http://www.marriott.co.uk/golf-hotels/cvtgs-forest-of-arden-a-marriott-hotel-and-country-club/forest-of-arden-country-club/5224836/course-overview.mi,-1.663526,52.463569,N/D,N/D,N/D,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
