course_id,facility_id,course_name,holes,par,course_type,hole1_par_m,hole2_par_m,hole3_par_m,hole4_par_m,hole5_par_m,hole6_par_m,hole7_par_m,hole8_par_m,hole9_par_m,hole10_par_m,hole11_par_m,hole12_par_m,hole13_par_m,hole14_par_m,hole15_par_m,hole16_par_m,hole17_par_m,hole18_par_m,hole1_handicap_m,hole2_handicap_m,hole3_handicap_m,hole4_handicap_m,hole5_handicap_m,hole6_handicap_m,hole7_handicap_m,hole8_handicap_m,hole9_handicap_m,hole10_handicap_m,hole11_handicap_m,hole12_handicap_m,hole13_handicap_m,hole14_handicap_m,hole15_handicap_m,hole16_handicap_m,hole17_handicap_m,hole18_handicap_m hole1_par_f,hole2_par_f,hole3_par_f,hole4_par_f,hole5_par_f,hole6_par_f,hole7_par_f,hole8_par_f,hole9_par_f,hole10_par_f,hole11_par_f,hole12_par_f,hole13_par_f,hole14_par_f,hole15_par_f,hole16_par_f,hole17_par_f,hole18_par_f,hole1_handicap_f,hole2_handicap_f,hole3_handicap_f,hole4_handicap_f,hole5_handicap_f,hole6_handicap_f,hole7_handicap_f,hole8_handicap_f,hole9_handicap_f,hole10_handicap_f,hole11_handicap_f,hole12_handicap_f,hole13_handicap_f,hole14_handicap_f,hole15_handicap_f,hole16_handicap_f,hole17_handicap_f,hole18_handicap_f,
GBR-ESS-0067-01,GBR-ESS-0067,Langdon,9,35,Parkland,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-02,GBR-ESS-0067,Horndon,9,37,Parkland,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03,GBR-ESS-0067,Bulphan,9,36,Parkland,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-04,GBR-ESS-0067,Bulphan/Horndon,18,73,Parkland,4,5,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,10,16,8,4,18,6,2,14,12,~,~,~,~,~,~,~,~,~,4,5,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,10,16,8,4,18,6,2,14,12,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-05,GBR-ESS-0067,Horndon/Langdon,18,71,Parkland,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-06,GBR-ESS-0067,Langdon/Bulphan,18,72,Parkland,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-CMA-0034-01,GBR-CMA-0034,Windermere,18,67,Links,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-BDF-0027-01,GBR-BDF-0027,The Millbrook,18,72,Parkland,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,7,17,11,9,1,15,3,13,5,~,~,~,~,~,~,~,~,~,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,7,17,11,9,1,15,3,13,5,~,~,~,~,~,~,~,~,~
GBR-BDF-0017-01,GBR-BDF-0017,John O'Gaunt,18,71,Parkland,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-BDF-0017-02,GBR-BDF-0017,Carthagena,18,69,Parkland,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
