tee_id,course_id,facility_id,course_name,tee_name,tee_color,course_par_for_tee,rating,slope,gender,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap,
GBR-ESS-0067-01-01,GBR-WAR-0001-01,Langdon Hills Golf Club,Langdon,Blue,Blue,35,N/D,N/D,man,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~,
GBR-ESS-0067-01-02,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,White,White,35,34.9,122,woman,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~,
GBR-ESS-0067-01-03,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,Yellow,Yellow,35,34.2,119,man,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~,
GBR-ESS-0067-01-04,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,Red (L),Red,36,35.2,111,woman,4,5,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,10,16,8,4,18,6,2,14,12,~,~,~,~,~,~,~,~,~,
GBR-ESS-0067-02-01,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,Blue,Blue,36,N/D,N/D,woman,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~,
GBR-ESS-0067-02-02,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,White,White,36,N/D,N/D,man,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~,
GBR-ESS-0067-02-03,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,Yellow,Yellow,36,N/D,N/D,man,4,,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-02-04,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,Red (L),Red,36,34.5,113,man,4,,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,7,17,11,9,1,15,3,13,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-01,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,Blue,Blue,37,N/D,N/D,man,5,,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-02,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,White,White,37,36.8,133,man,5,,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-03,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,Yellow,Yellow,37,35.9,127,man,5,,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-04,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,Red (L),Red,38,37.2,137,man,5,,4,5,4,3,4,5,3,5,~,~,~,~,~,~,~,~,~,17,1,9,7,11,3,5,13,15,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-04-01,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Blue,Blue,73,N/D,N/D,man,5,,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-02,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,White,White,73,71.7,123,man,5,,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-03,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Yellow,Yellow,73,70.9,120,man,5,,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-04,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Red (L),Red,74,71.7,119,man,5,,4,5,4,3,4,5,3,5,4,4,3,5,4,4,5,3,4,18,2,10,8,12,4,6,14,16,7,17,11,9,1,15,3,13,5
GBR-ESS-0067-05-01,GBR-ESS-0067-05,Langdon Hills Golf Club,Horndon/Langdon,Blue,Blue,71,N/D,N/D,man,4,,4,3,5,4,4,5,3,4,4,4,4,4,3,5,4,3,4,9,17,15,7,3,13,1,5,11,16,4,14,8,18,12,2,10,6
