tee_id,course_id,facility_id,course_name,tee_name,tee_color,course_par_for_tee,rating,slope,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap
GBR-ESS-0067-01-01,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,Blue,Blue,35,N/D,N/D,369,417,340,407,194,562,380,182,361,~,~,~,~,~,~,~,~,~,3212,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-01-02,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,White,White,35,34.9,122,369,417,340,407,173,482,380,182,350,~,~,~,~,~,~,~,~,~,3100,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-01-03,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,Yellow,Yellow,35,34.2,119,349,393,333,375,173,469,359,174,325,~,~,~,~,~,~,~,~,~,2950,4,4,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,16,4,14,8,18,12,2,10,6,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-01-04,GBR-ESS-0067-01,Langdon Hills Golf Club,Langdon,Red (L),Red,36,35.2,111,342,398,319,339,136,431,353,152,297,~,~,~,~,~,~,~,~,~,2767,4,5,4,4,3,5,4,3,4,~,~,~,~,~,~,~,~,~,10,16,8,4,18,6,2,14,12,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-02-01,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,Blue,Blue,36,N/D,N/D,355,357,234,468,405,339,533,195,340,~,~,~,~,~,~,~,~,~,3226,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-02-02,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,White,White,36,N/D,N/D,336,325,159,468,358,339,494,195,318,~,~,~,~,~,~,~,~,~,2992,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-02-03,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,Yellow,Yellow,36,N/D,N/D,307,309,140,455,340,324,478,177,305,~,~,~,~,~,~,~,~,~,2835,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,9,17,15,7,3,13,1,5,11,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-02-04,GBR-ESS-0067-02,Langdon Hills Golf Club,Horndon,Red (L),Red,36,34.5,113,300,290,124,416,317,296,417,156,274,~,~,~,~,~,~,~,~,~,2590,4,4,3,5,4,4,5,3,4,~,~,~,~,~,~,~,~,~,7,17,11,9,1,15,3,13,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-01,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,Blue,Blue,37,N/D,N/D,511,472,553,317,162,445,504,194,454,~,~,~,~,~,~,~,~,~,3612,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-02,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,White,White,37,36.8,133,511,404,553,317,162,412,504,165,454,~,~,~,~,~,~,~,~,~,3482,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-03,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,Yellow,Yellow,37,35.9,127,491,400,495,310,144,394,495,141,396,~,~,~,~,~,~,~,~,~,3266,5,4,5,4,3,4,5,3,4,~,~,~,~,~,~,~,~,~,17,1,9,13,3,7,11,15,5,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-03-04,GBR-ESS-0067-03,Langdon Hills Golf Club,Bulphan,Red (L),Red,38,37.2,137,475,387,475,292,120,341,480,140,396,~,~,~,~,~,~,~,~,~,3106,5,4,5,4,3,4,5,3,5,~,~,~,~,~,~,~,~,~,17,1,9,7,11,3,5,13,15,~,~,~,~,~,~,~,~,~
GBR-ESS-0067-04-01,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Blue,Blue,73,N/D,N/D,511,472,553,317,162,445,504,194,454,355,357,234,468,405,339,533,195,340,6838,5,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-02,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,White,White,73,71.7,123,511,404,553,317,162,412,504,165,454,336,325,159,468,358,339,494,195,318,6474,5,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-03,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Yellow,Yellow,73,70.9,120,491,400,495,310,144,394,495,141,396,307,309,140,455,340,324,478,177,305,6101,5,4,5,4,3,4,5,3,4,4,4,3,5,4,4,5,3,4,18,2,10,14,4,8,12,16,6,9,17,15,7,3,13,1,5,11
GBR-ESS-0067-04-04,GBR-ESS-0067-04,Langdon Hills Golf Club,Bulphan/Horndon,Red (L),Red,74,71.7,119,475,387,475,292,120,341,480,140,396,300,290,124,416,317,296,417,156,274,5696,5,4,5,4,3,4,5,3,5,4,4,3,5,4,4,5,3,4,18,2,10,8,12,4,6,14,16,7,17,11,9,1,15,3,13,5
